Distribution,Outlier,Num_Cat_Feature,Numerical_Feature,Categorical_Feature,Scaler,estimator,Score,Iteration
passthrough,IsolationForest(),"SelectKBest(k=4, score_func=<function mutual_info_regression at 0x14e04e40c820>)","SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,0.526559913129062, [5778 / 7920 of iteration 2/3]
passthrough,IsolationForest(),"SelectKBest(k=4, score_func=<function mutual_info_regression at 0x14e04e40c820>)","SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,0.524506775696605, [5779 / 7920 of iteration 2/3]
passthrough,IsolationForest(),"SelectKBest(k=6, score_func=<function mutual_info_regression at 0x14e04e40c820>)","SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,0.524506775696605, [6018 / 7920 of iteration 1/3]
passthrough,IsolationForest(),"SelectKBest(k=4, score_func=<function mutual_info_regression at 0x14e04e40c820>)","SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,0.524506775696605, [5776 / 7920 of iteration 3/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,passthrough,LinearRegression,0.524260341904663, [4681 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4682 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4683 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4684 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4685 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,passthrough,LinearRegression,0.524260341904663, [4686 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4687 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4688 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4689 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4690 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,passthrough,LinearRegression,0.524260341904663, [4691 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4692 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4693 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4694 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),passthrough,passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4695 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,0.524260341904663, [4696 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4697 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4698 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4699 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4700 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,0.524260341904663, [4701 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4702 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4703 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4704 / 7920 of iteration 1/3]
QuantileTransformer(output_distribution='normal'),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4705 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,0.524260341904663, [4706 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4707 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4708 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4709 / 7920 of iteration 1/3]
PowerTransformer(),LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4710 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,0.524260341904663, [4711 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,0.524260341904663, [4712 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,0.524260341904663, [4713 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,0.524260341904663, [4714 / 7920 of iteration 1/3]
passthrough,LocalOutlierFactor(),PCA(n_components=3),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,0.524260341904663, [4715 / 7920 of iteration 1/3]
